ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.65__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.65, 0.1, 0.24999999999999997]",0.7514061820902508
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.25, 0.19999999999999996]",0.7513652895657003
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.35000000000000003, 0.14999999999999997]",0.7512976843895883
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.15000000000000002, 0.2499999999999999]",0.751255689674037
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.30000000000000004, 0.19999999999999996]",0.7510682676672085
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.50__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.5, 0.050000000000000044]",0.7510667196461397
weighted__catboost__eng_no_time=0.70__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.7000000000000001, 0.0, 0.29999999999999993]",0.7510519453330601
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.45__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.45, 0.10000000000000003]",0.751038917187746
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.2, 0.24999999999999994]",0.7510312513874138
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.55__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.55, 0.0]",0.7509918573472577
weighted__catboost__eng_no_time=0.65__lightgbm__eng_no_time_knn=0.05__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.65, 0.05, 0.3]",0.7509792750320116
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.4, 0.15000000000000002]",0.7509107286590899
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.1, 0.29999999999999993]",0.7508354700668144
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.25, 0.25]",0.7507561618514232
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.35000000000000003, 0.2]",0.7506928168292925
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.15000000000000002, 0.29999999999999993]",0.7506344750112557
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.55__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.55, 0.04999999999999993]",0.750562659217837
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.50__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.5, 0.09999999999999998]",0.7505542255990547
weighted__catboost__eng_no_time=0.65__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.65, 0.0, 0.35]",0.7504912149494748
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.60__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.6000000000000001, 0.0]",0.7504573814009975
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.45__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.45, 0.14999999999999997]",0.7504460251184375
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.30000000000000004, 0.25]",0.7504016897950303
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.2, 0.3]",0.7503833983780825
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.05__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.05, 0.3499999999999999]",0.7503690698950707
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.4, 0.19999999999999996]",0.7502633710165006
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.1, 0.35]",0.7501939453676121
